Linux 6.6.87.2-microsoft-standard-WSL2 (d75345d54402) 	10/30/25 	_x86_64_	(8 CPU)

09:43:00          tps      rtps      wtps      dtps   bread/s   bwrtn/s   bdscd/s
09:46:12         4.00      0.00      4.00      0.00      0.00     96.00      0.00
09:46:13         2.00      0.00      2.00      0.00      0.00     48.00      0.00
09:46:14         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:46:15         0.99      0.00      0.99      0.00      0.00     15.84      0.00
09:46:16         2.00      0.00      2.00      0.00      0.00     88.00      0.00
09:46:17         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:46:18         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:46:19         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:46:21         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:46:22         2.00      0.00      2.00      0.00      0.00    968.00      0.00
09:46:23         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:46:24         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:46:25         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:46:26         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:46:27         2.00      0.00      2.00      0.00      0.00    968.00      0.00
09:46:28         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:46:29       102.00      3.00     99.00      0.00     24.00  88936.00      0.00
09:46:30         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:46:31         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:46:32         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:46:33         2.00      0.00      2.00      0.00      0.00   1104.00      0.00
09:46:34         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:46:35         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:46:36         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:46:37         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:46:38         0.00      0.00      0.00      0.00      0.00      0.00      0.00
09:46:39         2.00      0.00      2.00      0.00      0.00    992.00      0.00

Average:         3.66      0.17      3.49      0.00     10.59   1997.73      0.00
