"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","c320f30d2e32",,,,"User:","root"
"Cmdline:","dstat --time --cpu --mem --io --net --tcp --output /data/metrics/hadoop/soc-LiveJournal1/indegree.dstat.csv 1",,,,"Date:","30 Oct 2025 08:45:12 UTC"

"system","total cpu usage",,,,,,"memory usage",,,,"io/total",,"net/total",,"tcp sockets",,,,
30-10 08:45:22,12.422,0.753,86.700,0.0,0.0,0.125,2253139968.0,12828672.0,537272320.0,7466733568.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0
30-10 08:45:23,13.358,0.874,85.518,0.0,0.0,0.250,2253139968.0,12828672.0,537272320.0,7466733568.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0
30-10 08:45:24,12.718,0.374,86.658,0.0,0.0,0.249,2253139968.0,12828672.0,537272320.0,7466733568.0,0.0,0.0,74.0,54.0,3.0,0.0,0.0,7.0,0.0
30-10 08:45:25,12.609,1.124,85.893,0.0,0.0,0.375,2255073280.0,12828672.0,570691584.0,7431380992.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0
30-10 08:45:26,19.307,4.208,75.124,0.495,0.0,0.866,2507399168.0,12836864.0,571502592.0,7178235904.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0
30-10 08:45:27,3.831,1.022,95.019,0.0,0.0,0.128,2516918272.0,12836864.0,571502592.0,7168716800.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0
30-10 08:45:28,6.030,1.508,92.211,0.0,0.0,0.251,2527498240.0,12836864.0,571502592.0,7158136832.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0
30-10 08:45:29,4.146,1.131,94.221,0.0,0.0,0.503,2519080960.0,12836864.0,571715584.0,7166341120.0,0.0,0.0,74.0,54.0,3.0,0.0,0.0,6.0,0.0
30-10 08:45:30,4.887,2.757,92.105,0.0,0.0,0.251,2669002752.0,12836864.0,571719680.0,7016415232.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0
30-10 08:45:31,6.102,2.242,91.034,0.0,0.0,0.623,2671321088.0,12836864.0,571719680.0,7014096896.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0
30-10 08:45:32,8.385,0.626,89.862,1.001,0.0,0.125,2671579136.0,12845056.0,571711488.0,7013838848.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0
30-10 08:45:33,13.200,0.872,85.056,0.0,0.0,0.872,2672095232.0,12845056.0,571711488.0,7013322752.0,0.0,33.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0
30-10 08:45:34,13.109,1.124,82.022,2.497,0.0,1.248,2666782720.0,12890112.0,572141568.0,7018160128.0,12.0,118.0,74.0,54.0,3.0,0.0,0.0,6.0,0.0
30-10 08:45:35,13.810,1.726,81.628,1.480,0.0,1.356,2661896192.0,12922880.0,590274560.0,7004880896.0,0.0,84.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0
30-10 08:45:36,7.731,2.120,89.651,0.0,0.0,0.499,2766286848.0,12922880.0,605618176.0,6885146624.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0
30-10 08:45:37,17.603,2.247,80.025,0.0,0.0,0.125,2854797312.0,12922880.0,605618176.0,6796636160.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0
30-10 08:45:38,7.779,2.635,89.210,0.0,0.0,0.376,2853474304.0,12922880.0,605618176.0,6797959168.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0
30-10 08:45:39,4.881,1.502,93.617,0.0,0.0,0.0,2853474304.0,12922880.0,605618176.0,6797959168.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:45:40,5.479,1.494,92.154,0.498,0.0,0.374,2853707776.0,12931072.0,605618176.0,6797717504.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:45:41,6.337,1.648,91.381,0.0,0.0,0.634,2853965824.0,12931072.0,605618176.0,6797459456.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:45:42,4.602,1.244,93.408,0.0,0.0,0.746,2853965824.0,12931072.0,605618176.0,6797459456.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:45:43,13.392,0.626,85.482,0.0,0.0,0.501,2853216256.0,12931072.0,605618176.0,6798209024.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:45:44,12.484,0.125,87.016,0.0,0.0,0.375,2853216256.0,12931072.0,605618176.0,6798209024.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:45:45,12.827,0.872,84.932,0.996,0.0,0.374,2854277120.0,12939264.0,637837312.0,6764920832.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:45:46,7.375,1.125,91.250,0.0,0.0,0.250,2854260736.0,12939264.0,637853696.0,6764920832.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:45:47,6.717,0.760,92.522,0.0,0.0,0.0,2854260736.0,12939264.0,637853696.0,6764920832.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:45:48,4.167,1.136,94.697,0.0,0.0,0.0,2854252544.0,12939264.0,637861888.0,6764920832.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:45:49,4.151,1.006,94.591,0.0,0.0,0.252,2854252544.0,12939264.0,637861888.0,6764920832.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:45:50,4.255,1.001,93.992,0.0,0.0,0.751,2855538688.0,12947456.0,637857792.0,6763630592.0,0.0,32.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:45:51,8.186,3.778,87.028,0.0,0.0,1.008,2857701376.0,12947456.0,637861888.0,6761463808.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0
30-10 08:45:52,10.848,0.623,88.030,0.0,0.0,0.499,2857701376.0,12947456.0,637861888.0,6761463808.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:45:53,13.250,0.750,85.500,0.0,0.0,0.500,2857701376.0,12947456.0,637861888.0,6761463808.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:45:54,12.641,0.0,87.109,0.0,0.0,0.250,2858414080.0,12947456.0,639729664.0,6758883328.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:45:55,9.317,1.739,87.702,0.497,0.0,0.745,2859040768.0,12955648.0,669028352.0,6728949760.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:45:56,4.857,1.121,93.275,0.0,0.0,0.747,2859040768.0,12955648.0,669028352.0,6728949760.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:45:57,7.566,1.513,90.921,0.0,0.0,0.0,2859040768.0,12955648.0,669028352.0,6728949760.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:45:58,4.151,0.755,94.843,0.0,0.0,0.252,2859040768.0,12955648.0,669028352.0,6728949760.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:45:59,4.261,1.128,94.486,0.0,0.0,0.125,2859040768.0,12955648.0,669028352.0,6728949760.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:46:00,4.715,1.365,93.548,0.0,0.0,0.372,2859814912.0,12955648.0,669257728.0,6727946240.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:46:01,6.423,1.259,91.184,0.504,0.0,0.630,2860306432.0,12963840.0,669257728.0,6727446528.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:46:02,12.609,0.125,86.891,0.0,0.0,0.375,2860306432.0,12963840.0,669257728.0,6727446528.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:46:03,13.500,1.0,85.0,0.0,0.0,0.500,2860793856.0,12963840.0,669257728.0,6726959104.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:46:04,12.547,0.124,86.832,0.0,0.0,0.497,2861015040.0,12963840.0,671358976.0,6724636672.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:46:05,11.278,1.629,86.967,0.0,0.0,0.125,2862243840.0,12963840.0,700309504.0,6694457344.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:46:06,4.762,1.253,93.609,0.0,0.0,0.376,2862243840.0,12963840.0,700309504.0,6694457344.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:46:07,5.395,1.380,92.974,0.0,0.0,0.251,2862235648.0,12972032.0,700309504.0,6694457344.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:46:08,5.031,0.881,94.088,0.0,0.0,0.0,2862235648.0,12972032.0,700309504.0,6694457344.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:46:09,4.545,0.884,94.066,0.0,0.0,0.505,2862481408.0,12972032.0,700309504.0,6694211584.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:46:10,4.370,1.748,93.383,0.0,0.0,0.499,2862481408.0,12972032.0,700309504.0,6694211584.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:46:11,5.276,1.884,92.085,0.0,0.0,0.754,2862727168.0,12972032.0,700309504.0,6693965824.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0
30-10 08:46:12,11.985,0.250,87.640,0.0,0.0,0.125,2862727168.0,12972032.0,700309504.0,6693965824.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:13,13.217,0.998,84.663,0.499,0.0,0.623,2863235072.0,12980224.0,700309504.0,6693449728.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:14,12.843,0.125,86.783,0.0,0.0,0.249,2863235072.0,12980224.0,700309504.0,6693449728.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:15,9.950,1.244,88.184,0.0,0.0,0.622,2862104576.0,12980224.0,731361280.0,6663528448.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:16,8.209,1.368,89.552,0.0,0.0,0.871,2862362624.0,12980224.0,731361280.0,6663270400.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:17,3.662,0.758,95.328,0.0,0.0,0.253,2862362624.0,12980224.0,731361280.0,6663270400.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:18,4.975,1.493,93.284,0.0,0.0,0.249,2862362624.0,12980224.0,731361280.0,6663270400.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:19,5.237,0.499,94.015,0.0,0.0,0.249,2862362624.0,12980224.0,731361280.0,6663270400.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:20,4.822,1.523,92.132,1.269,0.0,0.254,2861678592.0,12992512.0,731357184.0,6663946240.0,1.0,104.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:21,7.152,3.011,87.829,0.753,0.0,1.255,2858254336.0,12992512.0,731373568.0,6667354112.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0
30-10 08:46:22,12.155,0.251,87.594,0.0,0.0,0.0,2858254336.0,12992512.0,731373568.0,6667354112.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:23,13.557,0.871,84.950,0.0,0.0,0.622,2858250240.0,12992512.0,731377664.0,6667354112.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:24,12.484,0.499,86.891,0.0,0.0,0.125,2858717184.0,12992512.0,735813632.0,6662451200.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:25,8.489,1.373,89.763,0.0,0.0,0.375,2859700224.0,12992512.0,762429440.0,6634852352.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:26,7.731,1.247,89.900,0.499,0.0,0.623,2859687936.0,13004800.0,762429440.0,6634852352.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:27,4.608,1.121,93.649,0.0,0.0,0.623,2858287104.0,13004800.0,762429440.0,6636253184.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:28,4.146,1.005,94.472,0.0,0.0,0.377,2854772736.0,13004800.0,762429440.0,6639767552.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:29,4.245,1.124,94.132,0.0,0.0,0.499,2854707200.0,13004800.0,762429440.0,6639833088.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:30,4.744,0.999,94.257,0.0,0.0,0.0,2854707200.0,13004800.0,762429440.0,6639833088.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:31,7.625,2.250,88.500,0.500,0.0,1.125,2856325120.0,13012992.0,762429440.0,6638206976.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:32,12.641,0.0,87.109,0.0,0.0,0.250,2856325120.0,13012992.0,762429440.0,6638206976.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:33,13.092,0.748,85.536,0.0,0.0,0.623,2856636416.0,13012992.0,762834944.0,6637490176.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:34,12.687,0.249,86.940,0.0,0.0,0.124,2857398272.0,13012992.0,774975488.0,6624587776.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:35,12.296,1.882,84.818,0.627,0.0,0.376,2858328064.0,13012992.0,793890816.0,6604742656.0,0.0,20.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:36,3.919,1.138,94.690,0.0,0.0,0.253,2858328064.0,13012992.0,793890816.0,6604742656.0,0.0,62.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:37,4.613,1.372,93.017,0.499,0.0,0.499,2858328064.0,13025280.0,793878528.0,6604742656.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:38,5.957,2.155,91.381,0.0,0.0,0.507,2857811968.0,13025280.0,793878528.0,6605258752.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:39,5.452,0.991,92.813,0.0,0.0,0.743,2857811968.0,13025280.0,793878528.0,6605258752.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:40,3.778,0.882,95.088,0.0,0.0,0.252,2857811968.0,13025280.0,793878528.0,6605258752.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:41,8.668,1.633,89.070,0.0,0.0,0.628,2856263680.0,13025280.0,793878528.0,6606807040.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:42,12.734,0.250,86.767,0.0,0.0,0.250,2856255488.0,13033472.0,793878528.0,6606807040.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:43,13.267,0.876,85.732,0.0,0.0,0.125,2856255488.0,13033472.0,793878528.0,6606807040.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:44,11.831,1.121,86.675,0.0,0.0,0.374,2855198720.0,13033472.0,823296000.0,6578446336.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:45,7.468,1.392,90.506,0.0,0.0,0.633,2855493632.0,13033472.0,825065472.0,6576381952.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:46,4.981,1.245,93.400,0.0,0.0,0.374,2855493632.0,13033472.0,825065472.0,6576381952.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:47,4.141,1.004,94.605,0.0,0.0,0.251,2855493632.0,13033472.0,825065472.0,6576381952.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:48,4.397,0.879,94.598,0.0,0.0,0.126,2856525824.0,13033472.0,825065472.0,6575349760.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:49,4.255,1.001,93.992,0.501,0.0,0.250,2856259584.0,13041664.0,825065472.0,6575607808.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:50,5.006,0.876,93.617,0.0,0.0,0.501,2856259584.0,13041664.0,825065472.0,6575607808.0,0.0,23.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:51,10.323,2.612,85.821,0.0,0.0,1.244,2851065856.0,13041664.0,825065472.0,6580801536.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:52,12.641,0.250,87.109,0.0,0.0,0.0,2851065856.0,13041664.0,825065472.0,6580801536.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:53,13.517,0.751,85.732,0.0,0.0,0.0,2851807232.0,13041664.0,825065472.0,6580060160.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:54,12.125,0.625,87.0,0.0,0.0,0.250,2852139008.0,13041664.0,848474112.0,6556319744.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:55,9.596,1.641,88.510,0.0,0.0,0.253,2852610048.0,13041664.0,856260608.0,6548062208.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:56,4.642,1.380,93.476,0.502,0.0,0.0,2852847616.0,13049856.0,856260608.0,6547816448.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:57,4.151,1.132,94.717,0.0,0.0,0.0,2852847616.0,13049856.0,856260608.0,6547816448.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:58,4.994,1.124,93.633,0.0,0.0,0.250,2852847616.0,13049856.0,856260608.0,6547816448.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:46:59,4.881,0.876,94.243,0.0,0.0,0.0,2852847616.0,13049856.0,856260608.0,6547816448.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:00,4.517,1.255,93.977,0.0,0.0,0.251,2852843520.0,13049856.0,856264704.0,6547816448.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:01,9.136,1.877,88.360,0.0,0.0,0.626,2849746944.0,13049856.0,856264704.0,6550913024.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:02,12.609,0.250,86.891,0.0,0.0,0.250,2850263040.0,13049856.0,856264704.0,6550396928.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:03,13.283,0.877,85.213,0.501,0.0,0.125,2850361344.0,13058048.0,856416256.0,6550138880.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:04,14.002,1.735,83.767,0.0,0.0,0.496,2851921920.0,13058048.0,887603200.0,6517391360.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:05,3.909,1.261,94.704,0.0,0.0,0.126,2851921920.0,13058048.0,887603200.0,6517391360.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:06,4.768,1.380,93.099,0.376,0.0,0.376,2851909632.0,13062144.0,887611392.0,6517391360.0,1.0,65.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:07,3.680,0.635,95.685,0.0,0.0,0.0,2851909632.0,13062144.0,887611392.0,6517391360.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:08,4.391,1.255,94.228,0.0,0.0,0.125,2852139008.0,13062144.0,887611392.0,6517161984.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:09,4.750,0.875,93.500,0.625,0.0,0.250,2852139008.0,13074432.0,887599104.0,6517161984.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:10,5.270,0.878,93.726,0.0,0.0,0.125,2852139008.0,13074432.0,887599104.0,6517161984.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:11,13.896,1.489,83.995,0.0,0.0,0.620,2847703040.0,13074432.0,887599104.0,6521597952.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:12,12.859,0.250,86.891,0.0,0.0,0.0,2847961088.0,13074432.0,887599104.0,6521339904.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:13,13.551,0.753,85.571,0.0,0.0,0.125,2848497664.0,13074432.0,888299520.0,6520102912.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:14,10.013,1.252,87.234,1.252,0.0,0.250,2847297536.0,13082624.0,918650880.0,6490943488.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:15,10.340,1.387,88.272,0.0,0.0,0.0,2847653888.0,13082624.0,918650880.0,6490587136.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:16,5.237,0.623,93.641,0.0,0.0,0.499,2847653888.0,13082624.0,918650880.0,6490587136.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:17,4.780,1.006,94.088,0.0,0.0,0.126,2847899648.0,13082624.0,918650880.0,6490341376.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:18,3.885,1.003,94.737,0.0,0.0,0.376,2847899648.0,13082624.0,918650880.0,6490341376.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:19,4.135,1.128,94.361,0.0,0.0,0.376,2847899648.0,13082624.0,918650880.0,6490341376.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:20,4.906,1.006,93.208,0.503,0.0,0.377,2847891456.0,13090816.0,918650880.0,6490341376.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:21,12.406,3.383,83.459,0.0,0.0,0.752,2846633984.0,13090816.0,918654976.0,6491594752.0,0.0,30.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0
30-10 08:47:22,12.827,0.249,86.675,0.0,0.0,0.249,2846633984.0,13090816.0,918654976.0,6491594752.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:23,13.767,1.126,84.606,0.0,0.0,0.501,2846859264.0,13090816.0,918659072.0,6491365376.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:24,12.641,0.125,86.984,0.0,0.0,0.250,2846859264.0,13090816.0,918659072.0,6491365376.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:25,10.125,1.250,88.125,0.0,0.0,0.500,2848878592.0,13090816.0,949710848.0,6458294272.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:26,9.125,1.250,89.0,0.0,0.0,0.625,2848870400.0,13099008.0,949710848.0,6458294272.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:27,4.906,0.881,93.836,0.0,0.0,0.377,2848870400.0,13099008.0,949710848.0,6458294272.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:28,4.732,1.245,93.649,0.0,0.0,0.374,2849644544.0,13099008.0,949710848.0,6457520128.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:29,4.255,1.502,94.118,0.0,0.0,0.125,2849644544.0,13099008.0,949710848.0,6457520128.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:30,3.914,1.010,95.076,0.0,0.0,0.0,2849644544.0,13099008.0,949710848.0,6457520128.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
30-10 08:47:31,5.422,2.144,91.677,0.504,0.0,0.252,2849636352.0,13107200.0,949710848.0,6457520128.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0
